phase_mark,source_marks,tracking_key,yoren_code,name_zh,attribute,stage,hp,deck_rule_limit,special_rules,interaction_flags,complexity,source_variant_count,collection_numbers,implemented_in_repo,implementation_status,backend_status,ui_status,ai_api_status,implemented_file,test_file,notes
H,H,Y1441,Y1441,败露球菇ex,草,1阶进化,260,,POKEMON_EX,COIN_FLIP|SPECIAL_CONDITION,medium,1,008/207,yes,implemented,implemented,implemented,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/amoonguss-ex.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/amoonguss-ex.spec.ts,
H,H|G,Y1365,Y1365,班基拉斯ex,恶,2阶进化,340,,POKEMON_EX|TERA,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|DAMAGE_COUNTERS|ATTACH_ENERGY,high,3,137/204|139/128|045/128,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/tyranitar-ex.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/tyranitar-ex.spec.ts,H mark implementation added; grouped tracker row still includes later G tera variants.
H,H,P0532,P0532,搬运小匠,斗,基础,80,,,COIN_FLIP,low,3,110/207,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/timburr.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/timburr.spec.ts,
H,H,P834,P834,暴噬龟,水,1阶进化,140,,,DAMAGE_COUNTERS,low,3,061/207,no,todo,todo,todo,todo,,,
H,H,P776,P776,爆焰龟兽,龙,基础,120,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,medium,3,154/207,no,todo,todo,todo,todo,,,
H,H|G|F,P626,P626,爆炸头水牛,无色,基础,130,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|DAMAGE_COUNTERS|ATTACH_ENERGY,high,7,169/207|005/023|002/023|119/131,no,todo,todo,todo,todo,,,
H,H|F,P494,P494,比克提尼,火,基础,80,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,5,043/204|038/131,no,todo,todo,todo,todo,,,
H,H|F,P362,P362,冰鬼护,水,1阶进化,120,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|DAMAGE_COUNTERS|ATTACH_ENERGY,high,5,058/204|012/131,no,todo,todo,todo,todo,,,
H,H|F,P471,P471,冰伊布,水,1阶进化,120,,,DAMAGE_COUNTERS,low,11,061/204|019/072|08 12/14|08 10/14|08 08/14|08 06/14|08 04/14|08 02/14,no,todo,todo,todo,todo,,,
H,H,P1009,P1009,波荡水,水,基础,130,,ANCIENT,DAMAGE_COUNTERS,medium,3,073/204,no,todo,todo,todo,todo,,,
H,H,Y1389,Y1389,波荡水ex,水,基础,220,,POKEMON_EX|ANCIENT,,low,5,253/204|239/204|216/204|181/SV-P|074/204,no,todo,todo,todo,todo,,,
H,H|G,Y1302,Y1302,波普海豚,水,基础,80,,,SELECT_POKEMON|SELECT_CARD|SWITCH|SEARCH_OR_RECOVERY,medium,12,070/204|062/207|066/052|041/SV-P|029/129|020/052,no,todo,todo,todo,todo,,,
H,H|F,P306,P306,波士可多拉,钢,2阶进化,180,,,DAMAGE_COUNTERS,low,5,140/207|082/131,no,todo,todo,todo,todo,,,
H,H|G|F,P453,P453,不良蛙,斗,基础,70,,,COIN_FLIP|SPECIAL_CONDITION,medium,10,108/207|087/127|071/130|082/153,no,todo,todo,todo,todo,,,
H,H|G,P0921,P0921,布拨,雷,基础,40,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY|SPECIAL_CONDITION,high,11,022/066|096/SV-P|057/SV-P|043/128|036/129|008/SV-P|004/006,no,todo,todo,todo,todo,,,
H,H|G,P0947,P0947,怖纳噬草,草,1阶进化,100,,,COIN_FLIP|ATTACH_ENERGY,medium,6,029/204|010/129,no,todo,todo,todo,todo,,,
H,H|G,P666,P666,彩粉蝶,草,2阶进化,120,,,SELECT_POKEMON|SELECT_CARD|COIN_FLIP|SEARCH_OR_RECOVERY,medium,6,013/207|009/128,no,todo,todo,todo,todo,,,
H,H|G,P0937,P0937,苍炎刃鬼,火,1阶进化,140,,,ATTACH_ENERGY,low,15,041/207|078/052|059/129|035/052|15 07/07|15 06/07|15 05/07|15 04/07|15 03/07|15 02/07|15 01/07,no,todo,todo,todo,todo,,,
H,H|G|F,P820,P820,藏饱栗鼠,无色,1阶进化,120,,,,low,13,195/SV-P|168/SV-P|165/SV-P|100/127|110/127|109/153|030/064,no,todo,todo,not_needed,not_needed,,,
H,H|F,P387,P387,草苗龟,草,基础,80,,,,low,11,172/SV-P|017/204|022/128|006/011|003/059,no,todo,todo,todo,todo,,,
H,H|G|F,P169,P169,叉字蝠,恶,2阶进化,130,,,SELECT_POKEMON|SELECT_CARD|DAMAGE_COUNTERS|SPECIAL_CONDITION|SEARCH_OR_RECOVERY,high,8,124/207|087/128|068/127,no,todo,todo,todo,todo,,,
H,H|F,P464,P464,超甲狂犀,斗,2阶进化,200,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,medium,5,103/207|063/128,no,todo,todo,todo,todo,,,
H,H|G|F,P150,P150,超梦,超,基础,130,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|DAMAGE_COUNTERS|ATTACH_ENERGY,high,12,024/066|150/151|100/049|170/414|051/153|033/131|021/059,no,todo,todo,todo,todo,,,
H,H|G,P0956,P0956,超能艳鸵,超,1阶进化,120,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,medium,14,093/207|026/066|131/128|065/130|064/127|061/128,no,todo,todo,todo,todo,,,
H,H|G|F,P041,P041,超音蝠,恶,基础,50,,,SELECT_POKEMON|SELECT_CARD|COIN_FLIP|SPECIAL_CONDITION|SEARCH_OR_RECOVERY,high,11,122/207|085/128|041/151|066/127,no,todo,todo,todo,todo,,,
H,H|G|F,P299,P299,朝北鼻,斗,基础,80,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|SEARCH_OR_RECOVERY,high,9,114/204|063/129|067/128|062/153,no,todo,todo,todo,todo,,,
H,H,P544,P544,车轮球,恶,1阶进化,100,,,SPECIAL_CONDITION,low,3,129/207,no,todo,todo,todo,todo,,,
H,H|F,P599,P599,齿轮儿,钢,基础,60,,,SELECT_POKEMON|SELECT_CARD|SEARCH_OR_RECOVERY,medium,7,143/207|098/128|043/072,no,todo,todo,todo,todo,,,
H,H|F,P601,P601,齿轮怪,钢,2阶进化,140,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,7,145/207|100/128|045/072,no,todo,todo,todo,todo,,,
H,H|F,P600,P600,齿轮组,钢,1阶进化,90,,,COIN_FLIP,low,7,144/207|099/128|044/072,no,todo,todo,todo,todo,,,
H,H,Y1386,Y1386,炽焰咆哮虎ex,火,2阶进化,320,,POKEMON_EX,SPECIAL_CONDITION,medium,3,214/204|177/SV-P|047/204,no,todo,todo,todo,todo,,,
H,H,P737,P737,虫电宝,雷,1阶进化,100,,,,low,11,169/SV-P|083/204|21 07/07|21 06/07|21 05/07|21 04/07|21 03/07|21 02/07|21 01/07,no,todo,todo,not_needed,not_needed,,,
H,H|G,P0953,P0953,虫滚泥,草,基础,50,,,COIN_FLIP,low,8,030/204|061/052|013/129|011/052,no,todo,todo,todo,todo,,,
H,H|G,P0954,P0954,虫甲圣,草,1阶进化,70,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SPECIAL_CONDITION,high,9,031/204|103/052|079/052|060/129|036/052,no,todo,todo,todo,todo,,,
H,H|G|F,P349,P349,丑丑鱼,水,基础,30,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|SWITCH|SEARCH_OR_RECOVERY,high,9,209/207|056/207|030/128|016/072,no,todo,todo,todo,todo,,,
H,H,P760,P760,穿着熊,无色,1阶进化,130,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,3,171/207,no,todo,todo,todo,todo,,,
H,H,Y1445,Y1445,刺龙王ex,水,2阶进化,310,,POKEMON_EX,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,high,2,216/207|049/207,no,todo,todo,todo,todo,,,
H,H|G|F,P096,P096,催眠貘,超,基础,70,,,SELECT_POKEMON|SELECT_CARD|SWITCH|SPECIAL_CONDITION,medium,12,076/207|098/049|096/151|051/127|029/131,no,todo,todo,todo,todo,,,
H,H,Y1360,Y1360,达克莱伊ex,恶,基础,210,,POKEMON_EX,,low,2,034/066|10 07/07,yes,implemented,implemented,todo,planned,/Users/easygod/code/ryuu-play/packages/sets/src/standard/set_h/simple-generated.ts,/Users/easygod/code/ryuu-play/packages/sets/tests/standard/set_h/simple-generated.spec.ts,H basic low-complexity generated card added.
H,H|G|F,P476,P476,大朝北鼻,斗,1阶进化,140,,,SELECT_POKEMON|SELECT_CARD|COIN_FLIP|SWITCH,medium,16,115/204|11 07/07|11 06/07|11 05/07|11 04/07|11 03/07|11 02/07|11 01/07|093/129|094/128|090/153,no,todo,todo,todo,todo,,,
H,H|G,P0941,P0941,大电海燕,雷,1阶进化,120,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,medium,12,071/207|056/207|055/130|049/128|017/SV-P|010/SV-P,no,todo,todo,todo,todo,,,
H,H,Y1437,Y1437,大电海燕ex,雷,1阶进化,260,,POKEMON_EX,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SWITCH,high,1,234/SV-P,no,todo,todo,todo,todo,,,
H,H|F,P262,P262,大狼犬,恶,1阶进化,120,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|SWITCH,medium,9,139/204|126/207|081/127|009/012,no,todo,todo,todo,todo,,,
H,H,P160,P160,大力鳄,水,2阶进化,180,,,DAMAGE_COUNTERS,low,3,054/204,no,todo,todo,todo,todo,,,
H,H|F,P463,P463,大舌舔,无色,1阶进化,150,,,COIN_FLIP|SPECIAL_CONDITION,medium,4,156/204|208/S-P,no,todo,todo,todo,todo,,,
H,H|G|F,P108,P108,大舌头,无色,基础,100,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|SPECIAL_CONDITION,medium,14,155/204|02 07/07|02 06/07|02 05/07|02 04/07|02 03/07|02 02/07|02 01/07|108/151|003/004,no,todo,todo,todo,todo,,,
H,H,P838,P838,大炭车,斗,1阶进化,110,,,COIN_FLIP,low,3,128/204,no,todo,todo,todo,todo,,,
H,H,P879,P879,大王铜象,钢,1阶进化,200,,,,low,3,148/207,no,todo,todo,not_needed,not_needed,,,
H,H|G|F,P042,P042,大嘴蝠,恶,1阶进化,80,,,,low,11,123/207|086/128|042/151|067/127,no,todo,todo,not_needed,not_needed,,,
H,H|G|F,P303,P303,大嘴娃,钢,基础,90,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SWITCH,high,11,145/204|082/129|056/128|035/131,no,todo,todo,todo,todo,,,
H,H|G,P115,P115,袋兽,无色,基础,130,,,SELECT_POKEMON|SELECT_CARD|SEARCH_OR_RECOVERY,medium,6,150/SV-P|102/129,no,todo,todo,todo,todo,,,
H,H|G,P228,P228,戴鲁比,火,基础,70,,,COIN_FLIP|ATTACH_ENERGY|SEARCH_OR_RECOVERY,medium,13,031/207|134/129|083/130|081/129|021/127,no,todo,todo,todo,todo,,,
H,H|F,P577,P577,单卵细胞球,超,基础,40,,,COIN_FLIP,low,5,096/204|044/131,no,todo,todo,todo,todo,,,
H,H|G|F,P102,P102,蛋蛋,草,基础,50,,,COIN_FLIP|SPECIAL_CONDITION,medium,14,001/207|102/151|051/129|031/131|019/059|001/153,no,todo,todo,todo,todo,,,
H,H|F,P859,P859,捣蛋小妖,超,基础,70,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|SEARCH_OR_RECOVERY,medium,5,141/SV-P|286/414,no,todo,todo,todo,todo,,,
H,H|G|F,P608,P608,灯火幽灵,火,1阶进化,80,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY|SWITCH,high,8,034/207|023/130|010/066,no,todo,todo,todo,todo,,,
H,H,P756,P756,灯罩夜菇,草,1阶进化,110,,,COIN_FLIP|SPECIAL_CONDITION,medium,3,018/207,no,todo,todo,todo,todo,,,
H,H,Y1457,Y1457,帝牙卢卡ex,钢,基础,220,,POKEMON_EX,ATTACH_ENERGY,medium,1,141/207,no,todo,todo,todo,todo,,,
H,H|G,P595,P595,电电虫,草,基础,40,,,COIN_FLIP,low,7,009/207|132/129|044/129,no,todo,todo,todo,todo,,,
H,H|G,P0939,P0939,电肚蛙,雷,1阶进化,140,,,COIN_FLIP|ATTACH_ENERGY|SPECIAL_CONDITION,medium,13,069/207|131/128|050/128|047/128|041/129,no,todo,todo,todo,todo,,,
H,H|G,P0940,P0940,电海燕,雷,基础,60,,,COIN_FLIP|SPECIAL_CONDITION|SEARCH_OR_RECOVERY,medium,13,233/SV-P|070/207|055/207|054/130|048/128|016/SV-P|009/SV-P,no,todo,todo,todo,todo,,,
H,H|F,P466,P466,电击魔兽,雷,1阶进化,140,,,DAMAGE_COUNTERS,low,6,076/204|133/131|056/131,no,todo,todo,todo,todo,,,
H,H|G|F,P125,P125,电击兽,雷,基础,90,,,COIN_FLIP|SPECIAL_CONDITION,medium,8,075/204|125/151|055/131,no,todo,todo,todo,todo,,,
H,H,P181,P181,电龙,雷,2阶进化,160,,,,low,1,021/066,no,todo,todo,not_needed,not_needed,,,
H,H,P0313,P0313,电萤虫,草,基础,70,,,SELECT_POKEMON|SELECT_CARD|SEARCH_OR_RECOVERY,medium,3,005/207,no,todo,todo,todo,todo,,,
H,H|G,P596,P596,电蜘蛛,草,1阶进化,100,,,ATTACH_ENERGY|SPECIAL_CONDITION,medium,6,010/207|045/129,no,todo,todo,todo,todo,,,
H,H,P743,P743,蝶结萌虻,超,1阶进化,70,,,,low,3,103/204,no,todo,todo,not_needed,not_needed,,,
H,H|G|F,P286,P286,斗笠菇,草,1阶进化,120,,,SPECIAL_CONDITION,low,7,014/204|002/059|019/128,no,todo,todo,todo,todo,,,
H,H,P519,P519,豆豆鸽,无色,基础,50,,,SELECT_POKEMON|SELECT_CARD|SEARCH_OR_RECOVERY,medium,3,167/204,no,todo,todo,todo,todo,,,
H,H|G,P0919,P0919,豆蟋蟀,草,基础,50,,,COIN_FLIP,low,7,003/066|014/128|013/128,no,todo,todo,todo,todo,,,
H,H|G|F,P454,P454,毒骷蛙,斗,1阶进化,130,,,SPECIAL_CONDITION,low,7,109/207|072/130|083/153,no,todo,todo,todo,todo,,,
H,H|F,P315,P315,毒蔷薇,草,基础,60,,,SPECIAL_CONDITION,low,7,015/204|020/128|008/153|004/207,no,todo,todo,todo,todo,,,
H,H|G|F,P111,P111,独角犀牛,斗,基础,100,,,SELECT_POKEMON|SELECT_CARD|SWITCH,medium,8,101/207|111/151|061/128,no,todo,todo,todo,todo,,,
H,H|G|F,P232,P232,顿甲,斗,1阶进化,150,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,medium,8,105/207|062/129|064/131,no,todo,todo,todo,todo,,,
H,H,P1017,P1017,厄诡椪 碧草面具,草,基础,110,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|SEARCH_OR_RECOVERY,medium,3,027/207,no,todo,todo,todo,todo,,,
H,H,Y1452,Y1452,厄诡椪 础石面具ex,斗,基础,210,,POKEMON_EX|TERA,,medium,3,246/207|223/207|121/207,no,todo,todo,todo,todo,,,
H,H,Y1444,Y1444,厄诡椪 火灶面具ex,火,基础,210,,POKEMON_EX|TERA,DAMAGE_COUNTERS|ATTACH_ENERGY,high,3,243/207|215/207|043/207,no,todo,todo,todo,todo,,,
H,H|G|F,P123,P123,飞天螳螂,草,基础,90,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY,high,18,003/204|123/151|053/052|001/052|001/129|010/128|009/131|003/153|001/058,no,todo,todo,todo,todo,,,
H,H|F,P489,P489,霏欧纳,水,基础,70,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SEARCH_OR_RECOVERY,high,12,062/204|13 07/07|13 06/07|13 05/07|13 04/07|13 03/07|13 02/07|13 01/07|018/131,no,todo,todo,todo,todo,,,
H,H,P851,P851,焚焰蚣,火,1阶进化,140,,,SPECIAL_CONDITION,low,3,049/204,no,todo,todo,todo,todo,,,
H,H|G,P664,P664,粉蝶虫,草,基础,40,,,SELECT_POKEMON|SELECT_CARD|SEARCH_OR_RECOVERY,medium,6,011/207|007/128,no,todo,todo,todo,todo,,,
H,H|G,P665,P665,粉蝶蛹,草,1阶进化,80,,,SWITCH,low,6,012/207|008/128,no,todo,todo,todo,todo,,,
H,H|G|F,P358,P358,风铃铃,超,基础,70,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SWITCH|SPECIAL_CONDITION|SEARCH_OR_RECOVERY,high,11,226/SV-P|084/207|052/128|040/131|035/066,no,todo,todo,todo,todo,,,
H,H|G,P547,P547,风妖精,草,1阶进化,100,,,ATTACH_ENERGY,low,6,023/204|056/129,no,todo,todo,todo,todo,,,
H,H|G,P205,P205,佛烈托斯,钢,1阶进化,130,,,COIN_FLIP,low,6,193/SV-P|095/127,no,todo,todo,todo,todo,,,
H,H|F,P611,P611,斧牙龙,龙,1阶进化,100,,,,low,6,213/207|152/207|318/414,no,todo,todo,not_needed,not_needed,,,
H,H|G,Y712,Y712,嘎啦嘎啦,斗,1阶进化,120,,,DAMAGE_COUNTERS,low,6,100/207|105/151,no,todo,todo,todo,todo,,,
H,H,Y1388,Y1388,盖欧卡ex,水,基础,230,,POKEMON_EX,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SWITCH,high,1,060/204,no,todo,todo,todo,todo,,,
H,H,P521,P521,高傲雉鸡,无色,2阶进化,150,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,medium,3,169/204,no,todo,todo,todo,todo,,,
H,H,Y1434,Y1434,耿鬼ex,恶,2阶进化,310,,POKEMON_EX,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|DAMAGE_COUNTERS|ATTACH_ENERGY,high,1,214/SV-P,no,todo,todo,todo,todo,,,
H,H|G|F,P619,P619,功夫鼬,斗,基础,60,,,SELECT_CARD,low,7,113/207|070/128|068/153,no,todo,todo,todo,todo,,,
H,H|G|F,P302,P302,勾魂眼,恶,基础,70,,,SELECT_POKEMON|SELECT_CARD|DAMAGE_COUNTERS|SPECIAL_CONDITION,medium,11,140/204|088/128|081/049|043/049|032/072|002/020,no,todo,todo,todo,todo,,,
H,H|G,P0926,P0926,狗仔包,超,基础,60,,,SELECT_POKEMON|SELECT_CARD|SEARCH_OR_RECOVERY,medium,13,105/204|102/049|061/127|10 05/05|10 04/05|10 03/05|10 02/05|10 01/05|001/006,no,todo,todo,todo,todo,,,
H,H,P1014,P1014,够赞狗,斗,基础,130,,,ATTACH_ENERGY,low,3,120/207,no,todo,todo,todo,todo,,,
H,H,Y1453,Y1453,够赞狗ex,恶,基础,250,,POKEMON_EX,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY|SPECIAL_CONDITION|SEARCH_OR_RECOVERY,high,3,247/207|224/207|133/207,no,todo,todo,todo,todo,,,
H,H|G,P656,P656,呱呱泡蛙,水,基础,60,,,SELECT_CARD|COIN_FLIP|SEARCH_OR_RECOVERY,medium,9,064/204|015/066|028/128|007/058,no,todo,todo,todo,todo,,,
H,H|G,P657,P657,呱头蛙,水,1阶进化,90,,,COIN_FLIP|SWITCH|SPECIAL_CONDITION,medium,9,065/204|016/066|029/128|008/058,no,todo,todo,todo,todo,,,
H,H|F,P163,P163,咕咕,无色,基础,70,,,ATTACH_ENERGY,low,6,159/204|094/127|012/012,no,todo,todo,todo,todo,,,
H,H,P520,P520,咕咕鸽,无色,1阶进化,80,,,,low,3,168/204,no,todo,todo,not_needed,not_needed,,,
H,H|G,P1003,P1003,古鼎鹿,斗,基础,140,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|DAMAGE_COUNTERS|ATTACH_ENERGY,high,6,133/204|084/128,no,todo,todo,todo,todo,,,
H,H|F,P369,P369,古空棘鱼,斗,基础,100,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|SPECIAL_CONDITION|SEARCH_OR_RECOVERY,high,14,118/204|07 07/07|07 06/07|07 05/07|07 04/07|07 03/07|07 02/07|07 01/07|071/131|014/131,no,todo,todo,todo,todo,,,
H,H|G,P1004,P1004,古玉鱼,火,基础,110,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,medium,8,050/204|022/129|006/064,no,todo,todo,todo,todo,,,
H,H|F,P845,P845,古月鸟,水,基础,110,,,ATTACH_ENERGY,low,14,170/SV-P|066/204|25 07/07|25 06/07|25 05/07|25 04/07|25 03/07|25 02/07|25 01/07|026/131|001/020,no,todo,todo,todo,todo,,,
H,H|G,P1007,P1007,故勒顿,龙,基础,140,,ANCIENT,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|ATTACH_ENERGY,high,6,152/204|033/066|124/SV-P|032/SV-P,no,todo,todo,todo,todo,,,
H,H|F,P695,P695,光电伞蜥,雷,1阶进化,100,,,,low,12,082/204|19 07/07|19 06/07|19 05/07|19 04/07|19 03/07|19 02/07|19 01/07|072/131,no,todo,todo,not_needed,not_needed,,,
H,H|G,P0938,P0938,光蚪仔,雷,基础,50,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|ATTACH_ENERGY|SPECIAL_CONDITION,high,16,068/207|076/SV-P|052/130|049/128|046/128|040/129,no,todo,todo,todo,todo,,,
H,H|G|F,P092,P092,鬼斯,恶,基础,60,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|DAMAGE_COUNTERS|ATTACH_ENERGY,high,9,212/SV-P|092/151|076/129|027/066,no,todo,todo,todo,todo,,,
H,H|G|F,P093,P093,鬼斯通,恶,1阶进化,90,,,SELECT_POKEMON|SELECT_CARD|DAMAGE_COUNTERS|SPECIAL_CONDITION,medium,9,213/SV-P|093/151|077/129|028/066,no,todo,todo,todo,todo,,,
H,H|F,P441,P441,聒噪鸟,无色,基础,70,,,SELECT_POKEMON|SELECT_CARD|SEARCH_OR_RECOVERY,medium,18,166/204|10 07/07|10 06/07|10 05/07|10 04/07|10 03/07|10 02/07|10 01/07|127/207|102/153|061/072|036/058|032/059,no,todo,todo,todo,todo,,,
H,H,P1011,P1011,裹蜜虫,龙,1阶进化,80,,,SELECT_POKEMON|SELECT_CARD|SWITCH,medium,6,156/207|024/207,no,todo,todo,todo,todo,,,
H,H|G|F,P117,P117,海刺龙,水,1阶进化,90,,,SELECT_POKEMON|SELECT_ENERGY|SELECT_CARD|COIN_FLIP|SPECIAL_CONDITION|SEARCH_OR_RECOVERY,high,12,048/207|117/151|027/128|030/177|004/131,no,todo,todo,todo,todo,,,
